YEAR;DATE_PATTERN;START_DATE;END_DATE;QUARTER;PERIOD
2002;CL;2002/01/01;2002/01/31;1;1
2002;CL;2002/02/01;2002/02/28;1;2
2002;CL;2002/03/01;2002/03/31;1;3
2002;CL;2002/04/01;2002/04/30;2;4
2002;CL;2002/05/01;2002/05/31;2;5
2002;CL;2002/06/01;2002/06/30;2;6
2002;CL;2002/07/01;2002/07/31;3;7
2002;CL;2002/08/01;2002/08/31;3;8
2002;CL;2002/09/01;2002/09/30;3;9
2002;CL;2002/10/01;2002/10/31;4;10
2002;CL;2002/11/01;2002/11/30;4;11
2002;CL;2002/12/01;2002/12/31;4;12
2003;CL;2003/01/01;2003/01/31;1;1
2003;CL;2003/02/01;2003/02/28;1;2
2003;CL;2003/03/01;2003/03/31;1;3
2003;CL;2003/04/01;2003/04/30;2;4
2003;CL;2003/05/01;2003/05/31;2;5
2003;CL;2003/06/01;2003/06/30;2;6
2003;CL;2003/07/01;2003/07/31;3;7
2003;CL;2003/08/01;2003/08/31;3;8
2003;CL;2003/09/01;2003/09/30;3;9
2003;CL;2003/10/01;2003/10/31;4;10
2003;CL;2003/11/01;2003/11/30;4;11
2003;CL;2003/12/01;2003/12/31;4;12
2004;CL;2004/01/01;2004/01/31;1;1
2004;CL;2004/02/01;2004/02/29;1;2
2004;CL;2004/03/01;2004/03/31;1;3
2004;CL;2004/04/01;2004/04/30;2;4
2004;CL;2004/05/01;2004/05/31;2;5
2004;CL;2004/06/01;2004/06/30;2;6
2004;CL;2004/07/01;2004/07/31;3;7
2004;CL;2004/08/01;2004/08/31;3;8
2004;CL;2004/09/01;2004/09/30;3;9
2004;CL;2004/10/01;2004/10/31;4;10
2004;CL;2004/11/01;2004/11/30;4;11
2004;CL;2004/12/01;2004/12/31;4;12
2005;CL;2005/01/01;2005/01/31;1;1
2005;CL;2005/02/01;2005/02/28;1;2
2005;CL;2005/03/01;2005/03/31;1;3
2005;CL;2005/04/01;2005/04/30;2;4
2005;CL;2005/05/01;2005/05/31;2;5
2005;CL;2005/06/01;2005/06/30;2;6
2005;CL;2005/07/01;2005/07/31;3;7
2005;CL;2005/08/01;2005/08/31;3;8
2005;CL;2005/09/01;2005/09/30;3;9
2005;CL;2005/10/01;2005/10/31;4;10
2005;CL;2005/11/01;2005/11/30;4;11
2005;CL;2005/12/01;2005/12/31;4;12
2006;CL;2006/01/01;2006/01/31;1;1
2006;CL;2006/02/01;2006/02/28;1;2
2006;CL;2006/03/01;2006/03/31;1;3
2006;CL;2006/04/01;2006/04/30;2;4
2006;CL;2006/05/01;2006/05/31;2;5
2006;CL;2006/06/01;2006/06/30;2;6
2006;CL;2006/07/01;2006/07/31;3;7
2006;CL;2006/08/01;2006/08/31;3;8
2006;CL;2006/09/01;2006/09/30;3;9
2006;CL;2006/10/01;2006/10/31;4;10
2006;CL;2006/11/01;2006/11/30;4;11
2006;CL;2006/12/01;2006/12/31;4;12
2007;CL;2007/01/01;2007/01/31;1;1
2007;CL;2007/02/01;2007/02/28;1;2
2007;CL;2007/03/01;2007/03/31;1;3
2007;CL;2007/04/01;2007/04/30;2;4
2007;CL;2007/05/01;2007/05/31;2;5
2007;CL;2007/06/01;2007/06/30;2;6
2007;CL;2007/07/01;2007/07/31;3;7
2007;CL;2007/08/01;2007/08/31;3;8
2007;CL;2007/09/01;2007/09/30;3;9
2007;CL;2007/10/01;2007/10/31;4;10
2007;CL;2007/11/01;2007/11/30;4;11
2007;CL;2007/12/01;2007/12/31;4;12
2008;CL;2008/01/01;2008/01/31;1;1
2008;CL;2008/02/01;2008/02/29;1;2
2008;CL;2008/03/01;2008/03/31;1;3
2008;CL;2008/04/01;2008/04/30;2;4
2008;CL;2008/05/01;2008/05/31;2;5
2008;CL;2008/06/01;2008/06/30;2;6
2008;CL;2008/07/01;2008/07/31;3;7
2008;CL;2008/08/01;2008/08/31;3;8
2008;CL;2008/09/01;2008/09/30;3;9
2008;CL;2008/10/01;2008/10/31;4;10
2008;CL;2008/11/01;2008/11/30;4;11
2008;CL;2008/12/01;2008/12/31;4;12
2009;CL;2009/01/01;2009/01/31;1;1
2009;CL;2009/02/01;2009/02/28;1;2
2009;CL;2009/03/01;2009/03/31;1;3
2009;CL;2009/04/01;2009/04/30;2;4
2009;CL;2009/05/01;2009/05/31;2;5
2009;CL;2009/06/01;2009/06/30;2;6
2009;CL;2009/07/01;2009/07/31;3;7
2009;CL;2009/08/01;2009/08/31;3;8
2009;CL;2009/09/01;2009/09/30;3;9
2009;CL;2009/10/01;2009/10/31;4;10
2009;CL;2009/11/01;2009/11/30;4;11
2009;CL;2009/12/01;2009/12/31;4;12
2010;CL;2010/01/01;2010/01/31;1;1
2010;CL;2010/02/01;2010/02/28;1;2
2010;CL;2010/03/01;2010/03/31;1;3
2010;CL;2010/04/01;2010/04/30;2;4
2010;CL;2010/05/01;2010/05/31;2;5
2010;CL;2010/06/01;2010/06/30;2;6
2010;CL;2010/07/01;2010/07/31;3;7
2010;CL;2010/08/01;2010/08/31;3;8
2010;CL;2010/09/01;2010/09/30;3;9
2010;CL;2010/10/01;2010/10/31;4;10
2010;CL;2010/11/01;2010/11/30;4;11
2010;CL;2010/12/01;2010/12/31;4;12
