THE_DATE;YEAR;QUARTER;PERIOD;DAY;DATE_DAYS;DATE_PATTERN
2002/01/01;2002;1;1;1;37224;CL
2002/01/02;2002;1;1;2;37225;CL
2002/01/03;2002;1;1;3;37226;CL
2002/01/04;2002;1;1;4;37227;CL
2002/01/05;2002;1;1;5;37228;CL
2002/01/06;2002;1;1;6;37229;CL
2002/01/07;2002;1;1;7;37230;CL
2002/01/08;2002;1;1;8;37231;CL
2002/01/09;2002;1;1;9;37232;CL
2002/01/10;2002;1;1;10;37233;CL
2002/01/11;2002;1;1;11;37234;CL
2002/01/12;2002;1;1;12;37235;CL
2002/01/13;2002;1;1;13;37236;CL
2002/01/14;2002;1;1;14;37237;CL
2002/01/15;2002;1;1;15;37238;CL
2002/01/16;2002;1;1;16;37239;CL
2002/01/17;2002;1;1;17;37240;CL
2002/01/18;2002;1;1;18;37241;CL
2002/01/19;2002;1;1;19;37242;CL
2002/01/20;2002;1;1;20;37243;CL
2002/01/21;2002;1;1;21;37244;CL
2002/01/22;2002;1;1;22;37245;CL
2002/01/23;2002;1;1;23;37246;CL
2002/01/24;2002;1;1;24;37247;CL
2002/01/25;2002;1;1;25;37248;CL
2002/01/26;2002;1;1;26;37249;CL
2002/01/27;2002;1;1;27;37250;CL
2002/01/28;2002;1;1;28;37251;CL
2002/01/29;2002;1;1;29;37252;CL
2002/01/30;2002;1;1;30;37253;CL
2002/01/31;2002;1;1;31;37254;CL
2002/02/01;2002;1;2;1;37255;CL
2002/02/02;2002;1;2;2;37256;CL
2002/02/03;2002;1;2;3;37257;CL
2002/02/04;2002;1;2;4;37258;CL
2002/02/05;2002;1;2;5;37259;CL
2002/02/06;2002;1;2;6;37260;CL
2002/02/07;2002;1;2;7;37261;CL
2002/02/08;2002;1;2;8;37262;CL
2002/02/09;2002;1;2;9;37263;CL
2002/02/10;2002;1;2;10;37264;CL
2002/02/11;2002;1;2;11;37265;CL
2002/02/12;2002;1;2;12;37266;CL
2002/02/13;2002;1;2;13;37267;CL
2002/02/14;2002;1;2;14;37268;CL
2002/02/15;2002;1;2;15;37269;CL
2002/02/16;2002;1;2;16;37270;CL
2002/02/17;2002;1;2;17;37271;CL
2002/02/18;2002;1;2;18;37272;CL
2002/02/19;2002;1;2;19;37273;CL
2002/02/20;2002;1;2;20;37274;CL
2002/02/21;2002;1;2;21;37275;CL
2002/02/22;2002;1;2;22;37276;CL
2002/02/23;2002;1;2;23;37277;CL
2002/02/24;2002;1;2;24;37278;CL
2002/02/25;2002;1;2;25;37279;CL
2002/02/26;2002;1;2;26;37280;CL
2002/02/27;2002;1;2;27;37281;CL
2002/02/28;2002;1;2;28;37282;CL
2002/03/01;2002;1;3;1;37283;CL
2002/03/02;2002;1;3;2;37284;CL
2002/03/03;2002;1;3;3;37285;CL
2002/03/04;2002;1;3;4;37286;CL
2002/03/05;2002;1;3;5;37287;CL
2002/03/06;2002;1;3;6;37288;CL
2002/03/07;2002;1;3;7;37289;CL
2002/03/08;2002;1;3;8;37290;CL
2002/03/09;2002;1;3;9;37291;CL
2002/03/10;2002;1;3;10;37292;CL
2002/03/11;2002;1;3;11;37293;CL
