DELIVERY_DOC_ID;DeliveryLineItemId
60017; 518
60019; 520
60018; 519
60009; 507
60013; 513
60010; 508
60010; 509
60011; 510
60011; 511
60012; 512
203; 442
212; 457
213; 458
204; 444
204; 445
204; 446
214; 459
205; 447
206; 448
215; 460
207; 451
208; 452
209; 453
210; 454
210; 455
211; 456
216; 466
216; 463
216; 467
216; 464
216; 468
216; 465
217; 469
218; 470
220; 472
221; 475
221; 473
221; 474
221; 477
221; 478
221; 476
222; 479
223; 480
224; 481
225; 482
226; 483
227; 484
228; 485
229; 486
230; 487
231; 488
232; 490
232; 489
233; 491
234; 492
235; 493
60000; 494
60002; 496
60001; 495
60003; 497
60003; 498
60003; 499
60003; 500
60004; 501
60004; 502
60005; 503
60007; 505
60006; 504
60008; 506
60014; 514
60014; 515
60015; 516
60016; 517
60021; 521
60022; 522
60023; 523
60024; 524
60026; 526
60027; 529
60027; 528
60027; 527
60028; 530
60029; 531
60030; 532
60031; 534
60032; 536
60033; 537
60034; 539
60034; 540
60034; 541
60034; 542
60034; 543
60035; 544
60035; 547
60035; 548
60035; 549
60035; 550
60035; 545
60035; 546
60036; 551
60037; 552
60037; 554
60037; 553
60038; 555
60039; 556
60040; 559
60040; 558
60040; 557
60041; 560
60042; 561
60043; 563
60043; 562
60043; 564
60044; 565
60045; 571
60045; 569
60045; 570
60045; 572
60046; 574
60046; 573
60046; 575
60046; 576
60047; 578
60047; 579
60047; 580
60047; 577
60048; 583
60048; 581
60048; 582
60049; 584
60058; 596
60052; 587
60059; 597
60060; 598
60061; 599
60062; 600
60054; 592
60055; 593
60063; 601
60064; 603
60064; 602
60065; 604
60066; 605
60067; 606
60070; 607
60070; 608
60070; 609
60070; 610
60070; 611
60071; 612
