ORDER_ID;OrderLineItemId
40000;1
40000;2
40005;1
40006;1
40007;1
40007;2
40008;1
40009;1
40010;1
40010;2
40010;3
40010;3.1
40010;3.2
40010;3.3
40010;3.4
40010;3.5
40011;1
40011;2
40012;1
50001;1
50002;1
50003;1
50004;1
50005;1
50008;1
50009;1
50030;1
50031;1
50037;1
50037;2
50037;3
50037;4
50039;1
50040;1
50041;1
50043;1
50045;1
50046;1
50148;1
50149;1
50150;1
50151;1
50152;1
50155;1
50157;1
50158;1
50159;1
50160;1
50161;1
50162;1
50163;1
50163;2
50163;3
50163;4
50164;1
50164;2
50165;1
50166;1
50167;1
50167;2
50168;1
50169;1
50169;2
50171;2
50172;1
50173;1
50174;1
50175;1
50176;1
50177;1
50178;1
50179;1
50179;2
50179;3
50180;1
50181;1
50182;1
50183;1
50183;2
50183;3
50184;1
50184;1.1
50184;1.2
50184;1.3
50184;1.4
50184;1.5
50185;1
50186;1
50186;2
50186;3
50189;1
50190;1
50191;1
50191;2
50191;3
50192;1
50193;1
50194;1
50194;2
50194;3
50195;1
50196;1
50197;1
50198;1
50199;1
50200;1
50201;1
50202;1
50202;2
50203;1
50204;1
50205;1
50205;2
50206;1
50206;1.1
50206;1.2
50206;1.3
50206;1.4
50206;1.5
50207;1
