ID_Document;ID_Trans_Doc;Line;Issue_Date;Promise_Date;Amount;Cost;Customer;Company;Item;Currency;Division;Business_Unit;Account_Rep;Cost_Center
40010;60035; 547;10/02/2008;10/02/2008; 0.0; 0.1;TTOYS;1;TWHEEL1; 1;Unspecified;Unspecified;1000;Unspecified
40010;60035; 548;10/02/2008;10/02/2008; 0.0; 0.25;TTOYS;1;CBODY1; 1;Unspecified;Unspecified;1000;Unspecified
40010;60035; 549;10/02/2008;10/02/2008; 0.0; 1.0387;TTOYS;1;HUB1; 1;Unspecified;Unspecified;1000;Unspecified
40010;60035; 550;10/02/2008;10/02/2008; 0.0; 2.33;TTOYS;1;CBUMP; 1;Unspecified;Unspecified;1000;Unspecified
50185;60036; 551;10/02/2008;10/02/2008; 314.9; 0.0;XTRM;1;CTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50186;60037; 553;10/02/2008;10/02/2008; 16500.0; 2.5678;TTOYS;1;WTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50186;60037; 554;10/02/2008;10/02/2008; 9891.0; 2.5678;TTOYS;1;RTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50186;60037; 552;10/02/2008;10/02/2008; 18000.0; 2.5678;TTOYS;1;BTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50189;60038; 555;12/31/2008;12/30/2008; 949.99; 2.5634;XTRM;1;YTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50176;60022; 522;06/12/2008;06/12/2008; 32.77; 0.0;XTRM;1;CTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
40009;60024; 524;06/12/2008;06/12/2008; 490.0; 0.0;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50167;60011; 511;12/14/2007;12/14/2007; 0.0; 6.3818;XTRM;1;YTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50167;60011; 510;12/14/2007;12/14/2007; 0.0; 6.3818;XTRM;1;RTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50168;60012; 512;12/14/2007;12/21/2007; 85.73; 6.3818;XTRM;1;STOCKCAR1; 3;Unspecified;Unspecified;1000;Unspecified
50149;227; 484;01/30/2006;01/30/2006; 950.0; 2.4618;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50190;60039; 556;12/31/2008;12/31/2008; 213613.55; 8.2982;XTRM;1;STOCKCAR1; 3;Unspecified;Unspecified;1000;Unspecified
50191;60040; 557;01/12/2009;01/12/2009; 10330.56; 2.5678;XTRM;1;BTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50191;60040; 558;01/12/2009;01/12/2009; 10330.56; 2.5678;XTRM;1;RTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50194;60043; 563;06/26/2009;06/26/2009; 3099.17; 2.5678;XTRM;1;WTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50150;228; 485;02/01/2006;01/31/2006; 950.0; 2.4618;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50151;229; 486;07/05/2006;07/05/2006; 950.0; 2.4618;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50152;230; 487;07/05/2006;07/05/2006; 950.0; 2.4618;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50155;231; 488;10/13/2006;10/13/2006; 950.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50157;232; 489;12/05/2006;12/05/2006; 98.91; 6.3818;TTOYS;1;WTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50157;232; 490;12/05/2006;12/05/2006; 890.19; 6.3818;TTOYS;1;WTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50158;233; 491;12/28/2006;12/28/2006; 950.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50162;60002; 496;04/05/2007;04/05/2007; 9250.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50160;60000; 494;02/20/2007;01/10/2007; 952.56; 6.3818;XTRM;1;YTRUCK1; 3;Unspecified;Unspecified;1000;Unspecified
50161;60001; 495;02/20/2007;02/20/2007; 950.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50163;60003; 499;05/30/2007;05/26/2007; 989.1; 6.3818;TTOYS;1;WTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50163;60003; 500;05/30/2007;05/26/2007; 989.1; 6.3818;TTOYS;1;RTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50163;60003; 498;05/30/2007;05/26/2007; 989.1; 6.3818;TTOYS;1;BTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50163;60003; 497;05/30/2007;05/26/2007; 4050.0; 6.3818;TTOYS;1;STOCKCAR1; 1;Unspecified;Unspecified;1000;Unspecified
50164;60004; 501;05/30/2007;05/30/2007; 950.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50164;60004; 502;05/30/2007;05/30/2007; 4025.0; 6.3818;TTOYS;1;STOCKCAR1; 1;Unspecified;Unspecified;1000;Unspecified
50165;60008; 506;09/21/2007;09/21/2007; 950.0; 6.3818;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50008;212; 457;01/09/2006;01/09/2006; 950.0; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50001;203; 442;12/27/2005;12/27/2005; 950.0; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50009;213; 458;01/09/2006;01/09/2006; 99.9; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50002;204; 446;12/27/2005;12/27/2005; 29.97; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50002;204; 445;12/27/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50002;204; 444;12/27/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50030;214; 459;01/09/2006;01/09/2006; 99.9; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50003;208; 452;12/27/2005;12/27/2005; 19.98; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50003;207; 451;12/27/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50003;206; 448;12/27/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50003;205; 447;12/27/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50031;215; 460;01/09/2006;01/09/2006; 99.9; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50004;209; 453;12/27/2005;12/27/2005; 99.9; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
40000;210; 455;12/29/2005;12/27/2005; 9.99; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50005;211; 456;12/29/2005;12/29/2005; 3505.5; 2.6668;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
50039;217; 469;01/11/2006;01/11/2006; 499.5; 2.4618;TTOYS;1;YTRUCK1; 1;Unspecified;Unspecified;1000;Unspecified
