TransactionType;LineItem;Remark
Delivery;1;BTRUCK1
Delivery;1;CTRUCK1
Delivery;1;DTRUCK1
Delivery;1;KCAR1
Delivery;1;REPAIRT1
Delivery;1;STOCKCAR1
Delivery;1;STRUCK1
Delivery;1;WTRUCK1
Delivery;1;YTRUCK1
Delivery;1.1;TWHEEL1
Delivery;1.1;YPAINT2
Delivery;1.2;CBODY1
Delivery;1.2;TWHEEL1
Delivery;1.3;CBODY1
Delivery;1.3;HUB1
Delivery;1.4;CBUMP
Delivery;1.4;HUB1
Delivery;1.5;CBUMP
Delivery;1.5;YPAINT2
Delivery;2;BTRUCK1
Delivery;2;DTRUCK1
Delivery;2;RTRUCK1
Delivery;2;STOCKCAR1
Delivery;2;STRUCK1
Delivery;2;WTRUCK1
Delivery;2;YTRUCK1
Delivery;3;BTRUCK1
Delivery;3;KCAR1
Delivery;3;RTRUCK1
Delivery;3;STOCKCAR1
Delivery;3;WTRUCK1
Delivery;3;YTRUCK1
Delivery;3.1;YPAINT2
Delivery;3.2;TWHEEL1
Delivery;3.3;CBODY1
Delivery;3.4;HUB1
Delivery;3.5;CBUMP
Delivery;4;RTRUCK1
Delivery;4;WTRUCK1
